CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1283	4218	1	0.9255	146.052
4313	5138	1	0.9237	-212.039
2959	4313	1	0.8929	212.538
1551	3790	1	0.863	-76.022
899	4380	1	0.927	-73.522
1248	1338	1	0.8443	-160.537
4206	8382	1	0.8654	152.011
4608	6648	1	0.8768	-68.023
255	288	1	0.8831	65.523
3627	4206	1	0.8473	304.060
1075	3833	1	0.8618	146.536
4608	5785	1	0.9173	0.000
4313	6643	1	0.8993	-8.497
261	909	1	0.9646	0.000
6865	11490	1	0.8576	289.082
5683	10222	1	0.8504	-290.074
2085	4380	1	0.877	-141.545
373	1107	1	0.8809	1.001
5823	6571	1	0.9063	-2.012
1248	11316	1	0.8492	146.047
6460	10619	1	0.8543	288.565
3462	4163	1	0.8468	0.000
1098	2673	1	0.9209	-65.518
1826	1946	1	0.9487	16.051
2679	6492	1	0.8564	2.529
4266	6534	1	0.928	-76.506
3833	4721	1	0.8907	-64.996
704	3122	1	0.8649	-218.520
1047	1056	1	0.9456	0.000
147	1906	1	0.853	-24.036
438	1047	1	0.8422	-225.054
2096	6571	1	0.9279	0.000
1098	1884	1	0.9575	64.521
1338	11300	1	0.9136	0.000
4051	7843	1	0.8608	-81.013
2744	3853	1	0.8896	-146.047
6534	7877	1	0.8442	-295.539
8469	10984	1	0.8995	-65.020
1047	3853	1	0.8969	-65.024
909	4387	1	0.853	-72.511
2742	4944	1	0.8568	-80.012
6460	6534	1	0.8535	0.000
4293	7178	1	0.8474	306.072
2744	2996	1	0.9466	-65.024
5584	6344	1	0.8559	-225.557
2472	4801	1	0.8467	236.536
1495	3712	1	0.9013	0.000
1673	6460	1	0.9112	-68.526
2996	8152	1	0.9195	-80.511
4546	5779	1	0.8472	76.008
288	3541	1	0.8684	65.020
1673	3122	1	0.8523	-364.563
4377	4546	1	0.8962	-76.008
704	7667	1	0.8423	222.046
2679	10619	1	0.8975	214.588
2966	2996	1	0.8805	-290.078
4824	10025	1	0.8488	-77.028
3753	5584	1	0.8418	-162.051
3746	4269	1	0.8542	-231.027
6648	10619	1	0.8471	68.028
6460	11490	1	0.9354	-75.495
899	3977	1	0.8526	-145.042
909	2551	1	0.9506	1.011
1551	2803	1	0.8889	76.003
776	2867	1	0.8408	-15.994
1075	4721	1	0.8509	81.540
147	3993	1	0.8682	-2.002
2673	10778	1	0.8531	290.576
1056	1283	1	0.9447	-290.586
261	2096	1	0.9066	-1.001
1946	2103	1	0.9501	1.978
1825	4225	1	0.8963	15.989
1075	10778	1	0.8419	144.534
1946	11028	1	0.9526	-1.039
1986	4380	1	0.9406	-73.019
4824	8382	1	0.8547	228.033
1643	3853	1	0.8553	-164.072
3833	6970	1	0.8864	-65.513
1495	2679	1	0.9412	-70.552
2472	5516	1	0.8618	3.487
1354	4387	1	0.9093	-217.553
