CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
116	2082	9	0.8707	-178.040
116	215	9	0.8634	-337.116
116	269	9	0.842	-146.047
116	4067	9	0.6533	-308.079
116	6133	9	0.842	-146.038
116	663	9	0.8171	14.001
116	888	9	0.8504	-356.109
116	903	9	0.9016	0.000
117	1158	9	0.6592	-105.031
117	2082	9	0.7746	-5.973
117	215	9	0.7736	-165.049
117	269	9	0.743	26.019
117	6133	9	0.743	26.029
117	663	9	0.8036	186.068
117	888	9	0.7291	-184.042
117	903	9	0.8133	172.067
118	670	15	0.7511	-14.001
119	4289	640	0.7577	132.041
122	1268	11	0.888	-479.078
122	1837	11	0.9463	-324.049
122	2554	11	0.8821	-328.073
122	267	11	0.8641	-326.066
122	3006	11	0.9624	-327.067
122	3156	11	0.8911	-479.078
122	3174	11	0.9396	-324.049
122	3832	11	0.8662	-174.055
122	532	11	0.8787	-184.075
122	583	11	0.8683	-326.066
122	595	11	0.8755	-184.075
122	6293	11	0.9	-366.120
122	6621	11	0.9	-327.067
123	316	56	0.9735	0.000
123	4559	56	0.8593	-310.048
123	7555	56	0.9106	-1.006
134	10474	6	0.8183	-30.014
134	10575	6	0.9845	0.000
134	144	6	0.8372	-162.051
134	1555	6	0.7543	42.008
134	2228	6	0.7835	27.011
134	2477	6	0.9988	0.000
134	2528	6	0.8094	42.008
134	3299	6	0.8649	41.026
134	3923	6	0.771	-323.129
134	958	6	0.8157	-30.009
135	4431	205	0.827	233.992
138	1384	55	0.9482	14.016
138	1513	55	0.832	-130.025
138	2975	55	0.878	-146.033
138	3076	55	0.829	-67.989
138	3982	55	0.948	0.000
138	5893	55	0.8704	14.016
141	10335	11	0.8672	-152.011
141	11328	11	0.9598	0.000
141	1660	11	0.8764	0.000
141	3775	11	0.8642	20.027
141	3832	11	0.9024	-152.011
141	417	11	0.9065	0.000
141	5241	11	0.974	-1.001
141	6602	11	0.8783	20.027
141	8043	11	0.9931	2.017
141	8791	11	0.9854	-1.001
143	10622	2	0.9916	0.000
143	1466	2	0.8468	-26.015
143	3199	2	0.8545	0.000
144	10399	6	0.8736	0.000
144	10418	6	0.9031	-30.009
144	10575	6	0.8688	162.051
144	12287	6	0.8931	11.999
144	1333	6	0.9491	-30.009
144	1929	6	0.8322	-121.029
144	2477	6	0.8492	162.051
144	2533	6	0.7957	11.989
144	3923	6	0.9373	-161.078
144	6043	6	0.7529	102.032
144	8753	6	0.7493	143.054
147	1107	1	0.8682	0.000
147	1906	1	0.853	-24.036
147	2639	1	0.8696	222.036
147	3266	1	0.8656	-300.075
147	3993	1	0.8682	-2.002
148	10531	12	0.9914	0.005
148	10682	12	0.9186	76.013
148	10770	12	0.8631	10.485
148	11035	12	0.8366	-203.585
148	11287	12	0.8475	11.994
148	1192	12	0.9156	10.984
148	12206	12	0.8242	-301.052
148	1323	12	0.8439	-214.070
148	1427	12	0.8275	-149.051
148	1777	12	0.8752	-376.078
148	1853	12	0.8393	-139.011
148	229	12	0.8772	10.984
148	245	12	0.8524	76.008
148	264	12	0.8781	2.989
148	2817	12	0.8894	-5.010
148	2954	12	0.8342	157.031
148	3267	12	0.8353	-222.070
148	3400	12	0.8742	3.995
148	3828	12	0.9986	0.000
148	4797	12	0.8936	-355.146
148	481	12	0.8337	-5.010
148	5090	12	0.9998	2.026
148	5217	12	0.837	-149.051
148	5244	12	0.8951	-144.031
148	5269	12	0.8821	-224.048
148	620	12	0.8499	-225.054
148	761	12	0.8448	81.028
148	806	12	0.863	81.028
148	998	12	0.8303	-301.062
150	11028	1	0.8591	-1.001
150	1826	1	0.8798	-16.013
