CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1986	4690	1	0.8626	144.031
1495	6460	1	0.9123	-144.529
4721	4933	1	0.8621	-16.018
1248	4944	1	0.8885	66.026
1056	1884	1	0.97	-0.503
8152	10778	1	0.8792	224.546
2803	8382	1	0.8492	76.008
1047	6855	1	0.8979	-66.035
261	10737	1	0.8488	-292.104
2643	3426	1	0.8739	238.552
909	11083	1	0.9041	0.000
1604	1626	1	0.8592	225.552
2959	6460	1	0.8453	84.002
4199	4387	1	0.8796	214.540
2996	4933	1	0.9079	65.024
5662	6460	1	0.8827	-68.526
1056	1098	1	0.942	-65.024
5683	11300	1	0.8796	-225.054
5019	6460	1	0.8696	67.525
6460	6865	1	0.8771	-364.577
3746	4206	1	0.848	-2.994
1495	4740	1	0.856	144.031
1673	6534	1	0.8636	-68.526
3541	8469	1	0.8727	0.000
7667	10619	1	0.87	144.036
1495	5019	1	0.8545	-212.054
909	1213	1	0.9102	1.011
4269	6643	1	0.9406	227.530
1283	3753	1	0.8767	162.051
2472	4269	1	0.8832	-7.492
4293	6643	1	0.8998	229.542
2803	3790	1	0.8902	-152.025
1537	7707	1	0.8981	1.025
5683	8469	1	0.882	130.542
1047	1075	1	0.8624	15.500
1283	1604	1	0.9578	225.063
1673	4266	1	0.8506	7.980
1075	1283	1	0.8418	-306.086
1884	2412	1	0.9251	-225.059
7843	10917	1	0.8945	73.019
2679	11722	1	0.8792	214.085
6364	6571	1	0.8705	288.062
2762	3935	1	0.843	-144.534
3776	7092	1	0.8532	1.025
6648	11722	1	0.8668	67.525
1098	1884	1	0.9575	64.521
4608	6648	1	0.8768	-68.023
4690	7605	1	0.8881	-1.509
4051	4690	1	0.8471	135.533
3511	6863	1	0.9265	456.589
1248	11316	1	0.8492	146.047
1495	6492	1	0.8444	-68.023
3776	7707	1	0.9607	1.025
1604	3426	1	0.8822	227.559
261	4180	1	0.9273	1.011
1098	7512	1	0.868	131.050
2679	4266	1	0.8654	2.529
1283	11300	1	0.8905	225.063
